speed,airbag,seatbelt,frontal,sex,age,vehYear,Deploy,injSeverity
40-54,airbag,belted,1,m,30,1994,0,0
40-54,none,belted,1,f,43,1990,0,2
40-54,none,belted,1,f,44,1990,0,3
25-39,none,belted,1,m,19,1990,0,3
25-39,none,belted,1,m,17,1990,0,1
25-39,none,belted,0,m,23,1995,0,3
40-54,airbag,belted,0,f,17,1993,0,2
40-54,none,belted,0,m,27,1985,0,3
40-54,airbag,belted,1,f,24,1997,1,1
40-54,none,belted,1,m,54,1994,0,1
40-54,airbag,belted,1,f,18,1997,0,0
40-54,airbag,belted,1,m,20,1997,0,0
40-54,airbag,belted,1,m,20,1995,1,1
40-54,airbag,belted,0,f,42,1998,1,4
40-54,airbag,belted,1,m,34,1998,1,2
40-54,none,none,1,m,34,1966,0,3
25-39,none,belted,1,m,39,1991,0,0
25-39,none,none,1,f,20,1995,0,2
25-39,none,belted,1,m,26,1995,0,0
40-54,airbag,belted,0,m,22,1997,1,1
40-54,airbag,belted,0,m,19,1997,1,1
40-54,airbag,belted,1,m,20,1996,0,1
40-54,airbag,belted,0,f,33,1997,0,1
40-54,airbag,belted,1,f,28,1996,1,1
40-54,none,belted,1,f,30,1988,0,1
40-54,none,belted,0,m,18,1984,0,2
40-54,none,belted,1,m,41,1980,0,0
25-39,airbag,belted,0,m,23,1990,1,3
40-54,airbag,belted,1,f,37,1996,1,1
40-54,none,belted,1,m,45,1990,0,0
25-39,none,belted,1,m,21,1991,0,3
25-39,none,belted,1,m,23,1991,0,3
25-39,airbag,belted,1,m,39,1996,1,2
40-54,none,none,0,f,29,1988,0,3
40-54,none,none,0,m,32,1988,0,2
25-39,none,belted,0,m,25,1982,0,1
25-39,none,none,0,m,24,1982,0,2
40-54,none,belted,1,f,21,1986,0,2
40-54,airbag,belted,1,f,70,1993,1,2
40-54,none,belted,1,f,63,1993,0,1
25-39,none,belted,1,f,17,1988,0,2
25-39,none,belted,1,m,17,1988,0,2
25-39,airbag,belted,1,m,54,1998,1,2
25-39,none,belted,1,f,17,1989,0,3
40-54,airbag,belted,0,m,38,1996,0,1
40-54,airbag,belted,0,f,35,1996,0,1
25-39,none,belted,0,f,28,1990,0,1
25-39,none,belted,0,m,32,1990,0,3
40-54,airbag,belted,1,f,31,1998,1,3
25-39,none,belted,0,f,19,1987,0,0
25-39,none,belted,0,f,16,1987,0,3
40-54,airbag,belted,1,f,26,1995,1,0
40-54,airbag,belted,1,m,33,1995,1,0
25-39,none,belted,0,m,42,1981,0,3
40-54,airbag,belted,1,f,23,1992,1,1
40-54,airbag,belted,1,m,22,1995,0,0
40-54,airbag,none,1,m,22,1995,0,1
25-39,airbag,none,1,f,50,1992,1,1
25-39,none,belted,1,m,58,1987,0,2
40-54,none,belted,1,f,63,1993,0,0
40-54,none,belted,1,f,37,1993,0,0
25-39,airbag,belted,0,f,34,1993,0,3
40-54,none,belted,0,f,53,1994,0,3
40-54,airbag,belted,0,f,39,1995,1,1
40-54,none,belted,1,m,40,1990,0,1
40-54,airbag,belted,0,f,57,1998,0,0
40-54,airbag,belted,0,m,31,1994,0,0
55+,airbag,belted,0,f,29,1997,1,1
25-39,none,belted,1,m,26,1992,0,1
40-54,airbag,belted,1,f,22,1995,0,1
40-54,airbag,belted,1,f,19,1996,0,1
25-39,none,none,1,m,45,1970,0,2
25-39,none,none,1,m,31,1970,0,NA
25-39,airbag,belted,0,f,72,1997,0,4
25-39,none,belted,1,f,26,1987,0,2
25-39,none,belted,1,f,51,1987,0,3
25-39,none,belted,0,m,23,1991,0,4
40-54,airbag,none,1,f,72,1995,1,2
40-54,airbag,belted,0,f,51,1996,0,3
40-54,airbag,belted,1,m,48,1996,1,3
40-54,none,none,0,m,44,1968,0,3
25-39,airbag,belted,0,m,47,1996,1,3
25-39,airbag,belted,1,f,39,1994,1,3
40-54,none,belted,1,m,40,1993,0,2
25-39,airbag,belted,0,m,28,1997,0,2
25-39,none,none,1,m,20,1988,0,2
25-39,none,none,1,f,19,1987,0,3
40-54,none,belted,0,m,36,1986,0,1
40-54,none,belted,0,f,34,1986,0,2
40-54,none,belted,1,m,55,1988,0,0
40-54,none,belted,1,m,53,1988,0,2
25-39,airbag,none,0,f,43,1994,1,1
40-54,none,belted,1,m,52,1993,0,3
40-54,none,belted,0,f,16,1989,0,1
40-54,airbag,none,1,f,27,1997,1,3
40-54,airbag,belted,0,m,29,1990,0,NA
40-54,airbag,belted,0,f,75,1994,0,0
40-54,airbag,belted,1,m,31,1997,1,0
25-39,airbag,belted,0,f,28,1993,0,1
40-54,airbag,belted,0,m,31,1998,0,0
40-54,airbag,belted,0,f,27,1998,0,0
40-54,airbag,belted,1,m,62,1995,1,1
25-39,none,belted,1,m,18,1987,0,0
40-54,airbag,belted,1,m,34,1993,1,1
40-54,airbag,belted,0,f,41,1993,0,1
25-39,airbag,belted,0,f,45,1997,0,4
55+,airbag,belted,1,m,70,1993,1,3
55+,airbag,belted,1,m,61,1993,1,2
40-54,none,belted,0,f,16,1989,0,3
40-54,none,belted,0,f,16,1989,0,1
40-54,airbag,belted,0,f,16,1997,1,2
40-54,none,belted,1,m,16,1990,0,1
25-39,airbag,belted,1,m,49,1998,1,1
25-39,airbag,belted,1,f,46,1998,1,1
40-54,none,belted,0,m,22,1985,0,4
40-54,none,belted,0,m,26,1985,0,4
25-39,airbag,belted,0,f,22,1998,1,3
25-39,airbag,belted,0,f,24,1998,1,2
25-39,none,belted,1,m,16,1989,0,0
25-39,none,belted,1,m,16,1989,0,0
55+,none,none,1,f,22,1987,0,3
40-54,none,belted,0,m,78,1986,0,0
40-54,none,belted,0,f,75,1986,0,0
55+,airbag,belted,1,m,54,1992,0,0
55+,airbag,belted,1,f,52,1992,0,0
40-54,airbag,belted,0,f,43,1997,1,3
40-54,airbag,belted,0,m,40,1997,1,1
25-39,none,belted,1,f,30,1990,0,3
40-54,none,belted,1,m,49,1985,0,3
40-54,none,belted,1,f,56,1987,0,1
40-54,airbag,belted,1,f,20,1996,1,1
40-54,none,belted,0,f,45,1992,0,2
40-54,none,belted,0,f,71,1992,0,3
25-39,none,belted,0,m,18,1991,0,1
25-39,none,belted,0,m,19,1991,0,1
25-39,airbag,belted,1,f,21,1996,1,1
25-39,airbag,belted,1,f,21,1996,1,1
40-54,none,belted,1,f,16,1992,0,0
40-54,airbag,belted,0,m,31,1997,0,0
40-54,none,belted,1,m,33,1987,0,2
40-54,none,belted,1,m,24,1987,0,3
40-54,airbag,belted,1,f,62,1996,0,0
40-54,none,belted,0,f,64,1991,0,1
55+,none,belted,1,f,27,1995,0,3
40-54,none,belted,1,f,38,1991,0,3
25-39,airbag,belted,1,m,68,1996,1,0
40-54,none,belted,1,m,46,1985,0,1
40-54,airbag,belted,1,f,37,1995,0,0
25-39,airbag,belted,0,m,16,1995,0,3
40-54,airbag,none,0,m,16,1992,1,3
40-54,airbag,belted,1,m,49,1996,1,2
40-54,airbag,belted,1,f,50,1996,1,2
40-54,none,belted,1,m,23,1992,0,1
40-54,airbag,belted,0,f,29,1995,0,1
25-39,airbag,belted,1,m,39,1995,1,0
40-54,none,belted,0,m,20,1992,0,3
25-39,none,belted,1,m,37,1975,0,3
25-39,none,belted,0,f,37,1992,0,2
40-54,none,belted,1,m,26,1989,0,0
25-39,airbag,none,0,m,38,1996,0,0
40-54,airbag,belted,1,f,48,1997,0,0
40-54,none,belted,0,m,17,1990,0,0
40-54,airbag,belted,1,m,18,1992,0,0
40-54,airbag,belted,1,f,18,1992,0,1
40-54,none,belted,0,m,17,1993,0,0
40-54,airbag,belted,0,m,30,1999,0,0
40-54,airbag,belted,1,f,28,1996,1,2
25-39,airbag,belted,0,m,23,1994,1,0
25-39,airbag,belted,0,m,25,1994,1,0
40-54,airbag,belted,1,f,45,1995,1,2
25-39,airbag,belted,1,m,16,1998,1,0
40-54,airbag,belted,1,f,17,1998,1,0
40-54,airbag,belted,1,f,21,1998,1,0
40-54,airbag,belted,1,f,45,1998,1,1
40-54,airbag,belted,1,m,33,1998,1,0
25-39,airbag,belted,1,f,46,1998,1,1
25-39,airbag,belted,1,m,38,1999,1,1
25-39,none,belted,1,m,41,1999,0,0
40-54,airbag,belted,1,m,31,1998,1,2
40-54,airbag,belted,1,f,32,1998,1,2
40-54,airbag,belted,1,f,16,1998,1,0
40-54,airbag,none,0,m,41,1998,0,0
40-54,airbag,none,0,f,37,1998,0,1
40-54,airbag,none,0,f,38,1996,0,3
40-54,none,none,0,f,40,1979,0,3
25-39,none,belted,1,f,23,1990,0,0
25-39,none,belted,0,m,16,1991,0,0
40-54,airbag,belted,1,m,43,1995,1,3
25-39,airbag,belted,1,m,31,1995,1,0
25-39,airbag,belted,1,m,26,1995,1,0
25-39,none,belted,1,m,45,1980,0,3
25-39,none,none,1,m,31,1980,0,3
55+,airbag,belted,0,f,18,1997,0,0
55+,airbag,belted,0,f,44,1997,0,0
40-54,none,none,1,f,20,1985,0,1
25-39,airbag,belted,1,m,21,1994,1,1
25-39,airbag,belted,1,f,40,1993,1,3
25-39,none,none,1,m,32,1992,0,3
55+,airbag,belted,0,m,46,1995,1,1
40-54,airbag,belted,1,m,20,1997,1,1
25-39,none,none,0,m,83,1991,0,3
40-54,none,belted,1,m,39,1992,0,0
40-54,airbag,belted,0,f,65,1993,0,3
40-54,none,none,0,m,42,1993,0,2
25-39,none,belted,0,f,22,1988,0,4
40-54,none,none,1,f,20,1983,0,3
40-54,none,none,1,m,28,1989,0,0
40-54,none,belted,1,f,57,1987,0,1
40-54,none,belted,1,m,62,1987,0,1
25-39,none,belted,1,m,39,1989,0,3
55+,none,belted,1,m,34,1993,0,1
40-54,none,none,1,m,27,1978,0,3
25-39,none,belted,1,m,20,1994,0,3
55+,none,none,0,f,21,1982,0,3
55+,none,belted,0,f,24,1982,0,1
40-54,airbag,belted,1,f,37,1995,1,0
40-54,none,none,1,m,24,1984,0,3
40-54,none,none,1,m,25,1984,0,3
40-54,airbag,belted,1,m,76,1991,1,3
40-54,none,belted,1,f,71,1991,0,3
40-54,none,belted,0,m,75,1992,0,3
40-54,none,belted,0,f,70,1992,0,3
40-54,airbag,belted,1,m,51,1997,1,3
40-54,airbag,belted,1,f,52,1997,1,3
40-54,none,belted,1,f,18,1990,0,1
40-54,airbag,belted,1,f,39,1996,1,3
40-54,airbag,belted,1,m,68,1993,1,1
40-54,none,belted,1,f,56,1993,0,2
25-39,none,belted,0,f,26,1990,0,2
25-39,none,belted,1,m,80,1984,0,3
25-39,none,none,0,f,43,1986,0,3
25-39,airbag,belted,1,m,31,1997,1,1
55+,none,belted,1,m,16,1990,0,3
55+,none,belted,1,m,17,1990,0,3
55+,none,none,1,m,30,1976,0,3
55+,none,none,1,m,33,1976,0,3
40-54,airbag,belted,1,f,34,1997,1,0
25-39,airbag,belted,0,m,24,1992,1,1
25-39,none,belted,0,m,23,1992,0,3
25-39,none,belted,1,f,18,1986,0,3
40-54,airbag,belted,1,m,59,1997,1,3
40-54,airbag,belted,1,m,23,1995,1,1
40-54,airbag,belted,1,f,38,1996,1,1
40-54,none,belted,1,f,17,1989,0,2
40-54,airbag,none,0,f,19,1998,0,4
40-54,airbag,belted,1,f,83,1994,1,3
40-54,none,belted,0,m,36,1988,0,3
55+,none,none,0,m,18,1986,0,4
40-54,airbag,belted,0,m,44,1996,0,3
40-54,airbag,belted,1,f,37,1991,0,0
40-54,none,none,1,m,21,1991,0,3
40-54,none,belted,1,m,51,1992,0,3
40-54,none,belted,1,m,45,1992,0,3
40-54,airbag,none,1,m,17,1992,0,3
55+,none,none,1,m,19,1989,0,3
55+,none,belted,1,f,28,1973,0,3
40-54,none,belted,1,m,17,1990,0,3
40-54,none,belted,1,m,16,1990,0,1
40-54,airbag,belted,0,m,65,1996,1,2
40-54,airbag,belted,1,f,25,1995,1,0
40-54,none,belted,1,f,35,1991,0,1
40-54,none,belted,0,f,39,1991,0,0
25-39,none,none,1,m,55,1987,0,4
40-54,airbag,belted,1,f,28,1995,1,1
40-54,none,belted,0,f,16,1990,0,1
40-54,none,belted,0,f,16,1990,0,3
40-54,none,none,1,f,35,1982,0,3
40-54,none,none,1,f,29,1979,0,2
40-54,airbag,belted,1,m,73,1993,1,0
40-54,none,belted,0,m,47,1984,0,1
40-54,airbag,belted,1,m,67,1998,0,1
25-39,airbag,belted,1,m,24,1996,0,0
40-54,none,none,1,f,47,1986,0,3
40-54,none,belted,0,f,69,1987,0,3
40-54,airbag,belted,1,f,51,1995,1,2
40-54,airbag,belted,1,f,36,1995,1,2
55+,none,belted,0,f,20,1990,0,3
55+,none,belted,0,m,28,1990,0,0
55+,airbag,none,1,m,22,1997,1,3
55+,airbag,none,1,m,20,1997,1,2
55+,none,none,0,f,85,1985,0,4
25-39,airbag,belted,0,f,30,1993,0,2
25-39,airbag,belted,0,m,33,1993,0,2
40-54,none,belted,1,m,34,1993,0,2
25-39,none,none,1,m,44,1991,0,3
25-39,none,none,1,m,59,1991,0,3
25-39,none,none,1,f,67,1991,0,3
25-39,none,none,1,f,32,1986,0,3
40-54,none,none,1,f,36,1986,0,3
25-39,none,belted,1,m,17,1990,0,3
25-39,none,none,1,m,24,1990,0,3
40-54,none,belted,1,f,59,1987,0,1
40-54,airbag,belted,0,m,34,1995,0,1
40-54,airbag,belted,1,f,22,1994,1,2
25-39,airbag,none,1,f,38,1998,1,3
55+,none,none,1,m,35,1983,0,3
40-54,none,belted,1,m,31,1993,0,0
40-54,none,none,0,m,57,1981,0,3
40-54,airbag,belted,0,f,21,1996,0,0
40-54,none,none,1,m,53,1988,0,0
40-54,none,none,1,f,50,1988,0,0
25-39,none,none,0,m,22,1976,0,2
25-39,none,none,0,m,46,1976,0,4
40-54,none,none,1,f,31,1987,0,3
40-54,none,belted,0,f,17,1984,0,1
40-54,airbag,belted,1,f,30,1994,0,1
40-54,airbag,belted,1,f,73,1990,1,1
55+,airbag,belted,0,f,55,1998,0,3
40-54,airbag,none,1,m,50,1997,1,3
55+,none,none,1,m,32,1984,0,3
25-39,none,belted,1,m,35,1984,0,3
25-39,none,belted,1,f,37,1984,0,3
25-39,none,belted,1,m,21,1990,0,2
25-39,none,belted,0,f,35,1990,0,0
40-54,airbag,belted,0,m,21,1996,0,3
40-54,airbag,none,0,f,25,1996,0,0
40-54,none,none,1,m,43,1980,0,0
25-39,none,belted,0,f,69,1991,0,3
25-39,none,belted,0,m,25,1991,0,1
40-54,none,belted,1,m,18,1987,0,0
40-54,none,belted,1,f,17,1987,0,2
25-39,airbag,belted,1,f,22,1990,1,2
40-54,none,belted,0,m,31,1992,0,2
40-54,none,belted,0,f,30,1992,0,2
55+,airbag,belted,0,m,51,1997,0,3
25-39,none,none,1,m,39,1978,0,2
25-39,none,none,0,f,21,1989,0,3
25-39,none,none,0,m,20,1989,0,3
40-54,airbag,belted,1,m,30,1993,1,3
40-54,airbag,belted,1,f,37,1993,1,3
40-54,none,none,1,m,28,1992,0,3
25-39,none,belted,1,m,88,1990,0,4
25-39,none,belted,1,f,80,1990,0,3
25-39,airbag,none,1,m,35,1993,1,1
25-39,none,none,0,m,82,1978,0,3
25-39,airbag,belted,1,f,43,1994,1,2
25-39,none,belted,1,m,35,1987,0,3
25-39,none,belted,1,f,30,1987,0,3
40-54,none,none,1,m,22,1990,0,2
40-54,airbag,belted,1,f,38,1993,1,1
40-54,airbag,belted,0,f,54,1994,0,3
40-54,airbag,belted,1,f,19,1998,1,0
40-54,none,belted,0,m,37,1993,0,0
25-39,airbag,belted,1,m,23,1998,1,2
25-39,airbag,none,1,f,20,1998,1,3
40-54,none,none,1,m,41,1984,0,3
55+,none,belted,1,f,17,1992,0,3
40-54,none,none,1,f,40,1989,0,3
40-54,none,belted,1,m,16,1992,0,2
40-54,none,belted,0,m,35,1981,0,0
40-54,none,belted,0,f,41,1981,0,2
40-54,airbag,none,1,m,43,1995,1,0
40-54,airbag,none,1,f,41,1995,1,2
40-54,none,none,0,m,31,1995,0,4
40-54,none,none,1,f,42,1988,0,3
40-54,airbag,none,1,m,18,1998,1,1
40-54,airbag,belted,1,m,22,1998,1,3
40-54,airbag,belted,0,m,25,1997,0,3
25-39,airbag,none,1,m,57,1998,1,2
25-39,airbag,belted,1,f,64,1995,1,3
40-54,none,belted,1,f,17,1986,0,1
40-54,none,none,1,f,17,1986,0,1
25-39,airbag,belted,1,m,19,1992,1,2
25-39,airbag,belted,0,f,25,1998,0,3
40-54,none,belted,1,f,82,1984,0,0
40-54,airbag,belted,0,f,46,1995,0,2
25-39,airbag,none,1,m,87,1992,1,1
40-54,none,belted,0,f,21,1991,0,1
40-54,airbag,belted,0,f,42,1996,1,1
40-54,airbag,none,0,f,30,1995,1,1
55+,none,none,1,m,26,1989,0,3
40-54,none,none,0,f,23,1988,0,3
40-54,none,none,0,f,25,1988,0,3
25-39,none,belted,1,m,85,1988,0,2
40-54,airbag,belted,0,m,43,1997,1,1
40-54,airbag,belted,1,f,82,1995,0,1
40-54,airbag,none,1,m,31,1996,1,3
40-54,airbag,belted,1,m,25,1997,1,2
40-54,none,none,1,m,28,1979,0,3
40-54,none,none,1,m,36,1979,0,3
40-54,airbag,belted,0,f,86,1992,0,3
40-54,airbag,none,1,f,26,1994,1,3
25-39,none,belted,0,m,55,1993,0,3
40-54,none,belted,0,m,25,1989,0,1
40-54,none,belted,0,f,23,1989,0,3
25-39,none,belted,1,m,23,1982,0,1
25-39,none,belted,1,m,34,1982,0,1
40-54,airbag,belted,1,m,51,1998,1,3
55+,airbag,belted,0,m,33,1998,0,1
40-54,airbag,belted,1,m,16,1998,0,0
40-54,airbag,belted,1,f,16,1998,0,0
25-39,none,belted,1,m,26,1994,0,2
55+,none,none,1,f,36,1985,0,4
55+,none,none,1,f,41,1985,0,3
25-39,none,belted,0,m,27,1984,0,3
40-54,airbag,belted,1,f,45,1995,1,3
40-54,none,belted,1,f,23,1995,0,2
40-54,airbag,none,1,f,55,1997,1,3
40-54,none,none,1,f,47,1986,0,3
25-39,airbag,belted,0,m,52,1994,1,3
40-54,none,belted,0,m,42,1988,0,3
40-54,airbag,belted,1,f,18,1997,1,2
25-39,airbag,belted,0,f,24,1995,1,3
40-54,airbag,none,0,f,85,1997,1,3
25-39,none,none,1,m,31,1985,0,2
25-39,none,none,0,m,32,1988,0,3
40-54,airbag,belted,1,m,26,1998,1,0
40-54,none,none,1,m,22,1989,0,3
40-54,airbag,belted,1,f,37,1997,1,3
40-54,none,belted,1,m,75,1989,0,0
40-54,none,none,1,f,75,1989,0,1
40-54,airbag,belted,0,f,31,1997,0,1
40-54,none,none,1,m,23,1987,0,4
40-54,none,none,1,m,47,1985,0,3
25-39,none,belted,1,f,59,1993,0,3
25-39,none,belted,1,m,17,1987,0,3
25-39,airbag,belted,0,f,34,1995,0,1
40-54,airbag,belted,1,m,49,1996,1,1
40-54,airbag,belted,1,f,44,1996,1,1
40-54,airbag,none,0,m,39,1999,0,3
40-54,none,belted,1,m,24,1977,0,0
40-54,none,none,1,m,34,1984,0,2
25-39,none,none,0,f,48,1987,0,0
25-39,airbag,belted,1,f,26,1996,1,0
40-54,airbag,belted,1,m,20,1998,1,0
40-54,airbag,belted,1,m,18,1998,1,1
25-39,airbag,belted,1,m,38,1999,1,2
40-54,airbag,none,1,f,40,1998,1,3
25-39,none,none,1,m,39,1978,0,0
25-39,none,none,1,f,31,1978,0,3
25-39,none,belted,1,f,17,1988,0,3
40-54,none,belted,0,f,16,1989,0,3
40-54,none,belted,0,f,16,1989,0,3
25-39,none,none,1,m,33,1988,0,3
25-39,airbag,none,0,f,18,1993,1,3
25-39,none,belted,0,f,18,1993,0,3
40-54,airbag,belted,1,m,63,1998,1,3
55+,none,none,1,m,30,1991,0,3
40-54,none,belted,1,m,50,1983,0,3
25-39,airbag,none,1,f,45,1995,1,3
40-54,airbag,none,0,m,69,1993,0,3
40-54,none,none,0,m,74,1984,0,3
25-39,none,belted,1,m,26,1995,0,0
25-39,none,none,0,f,17,1989,0,3
40-54,airbag,none,0,m,22,1995,0,3
40-54,none,none,1,m,19,1993,0,0
40-54,none,none,1,m,20,1993,0,3
40-54,none,none,0,f,36,1987,0,3
40-54,airbag,none,1,f,25,1995,1,3
40-54,none,none,1,f,23,1989,0,3
55+,airbag,belted,1,f,30,1997,1,3
40-54,airbag,belted,1,m,21,1997,1,3
25-39,airbag,belted,1,f,43,1997,1,3
25-39,airbag,none,0,f,32,1996,1,3
25-39,airbag,belted,0,m,66,1996,1,3
40-54,none,belted,1,m,20,1994,0,3
40-54,none,none,0,m,21,1993,0,0
40-54,none,belted,1,m,24,1987,0,0
40-54,none,none,1,f,34,1987,0,3
40-54,none,none,1,m,24,1994,0,1
40-54,none,none,1,m,38,1985,0,0
40-54,none,none,1,f,74,1990,0,3
55+,none,belted,1,f,17,1988,0,3
40-54,none,none,1,f,18,1981,0,3
40-54,none,none,1,m,17,1981,0,3
40-54,none,none,1,f,26,1983,0,3
25-39,airbag,belted,1,m,25,1995,1,3
25-39,airbag,belted,1,f,28,1995,1,3
25-39,none,belted,1,m,27,1991,0,3
40-54,airbag,belted,0,f,24,1994,0,0
40-54,airbag,none,0,m,23,1994,0,3
25-39,none,none,1,m,46,1993,0,0
40-54,airbag,belted,1,m,32,1995,1,3
40-54,none,none,0,f,37,1976,0,2
25-39,airbag,belted,1,f,52,1995,1,0
40-54,none,none,1,f,32,1992,0,0
25-39,none,belted,0,f,36,1987,0,3
25-39,none,belted,0,f,16,1987,0,3
25-39,airbag,belted,1,m,26,1996,1,0
25-39,none,belted,0,f,85,1988,0,3
40-54,airbag,belted,1,m,20,1997,1,3
25-39,none,belted,0,m,38,1990,0,3
40-54,airbag,none,0,m,86,1995,0,3
40-54,none,belted,1,m,45,1987,0,1
40-54,airbag,belted,1,m,17,1993,1,3
25-39,none,belted,1,m,67,1988,0,3
25-39,none,belted,1,f,18,1988,0,3
40-54,airbag,belted,0,f,24,1996,0,3
40-54,airbag,belted,0,m,21,1996,0,0
40-54,airbag,belted,1,m,33,1998,1,0
40-54,airbag,belted,1,m,35,1998,1,3
40-54,airbag,belted,0,f,51,1995,0,3
25-39,none,none,1,m,28,1986,0,3
25-39,airbag,belted,0,f,42,1997,0,3
25-39,airbag,belted,0,f,16,1997,0,3
40-54,airbag,belted,0,m,45,1995,0,0
25-39,airbag,belted,1,f,20,1996,1,3
25-39,airbag,belted,1,m,23,1996,1,3
25-39,airbag,belted,0,f,23,1996,1,3
25-39,airbag,belted,0,m,39,1996,1,0
25-39,airbag,belted,0,f,51,1993,0,3
25-39,none,belted,1,m,70,1989,0,0
40-54,airbag,belted,1,f,18,1996,1,3
40-54,none,belted,1,m,23,1987,0,0
40-54,none,belted,1,m,24,1987,0,0
25-39,airbag,none,0,f,55,1991,0,3
40-54,airbag,belted,1,f,27,1997,1,3
40-54,none,belted,1,m,41,1989,0,0
40-54,airbag,none,0,f,23,1998,1,3
40-54,airbag,none,0,f,21,1998,1,3
40-54,none,belted,0,f,55,1990,0,3
25-39,airbag,belted,1,m,26,1996,1,1
40-54,none,belted,0,f,38,1989,0,3
40-54,airbag,belted,1,f,21,1996,0,0
40-54,none,belted,1,f,27,1989,0,0
25-39,airbag,belted,1,m,21,1996,1,3
25-39,none,belted,1,f,20,1986,0,0
25-39,none,none,1,m,21,1986,0,3
40-54,airbag,belted,0,f,19,1997,0,0
40-54,airbag,belted,0,m,18,1997,1,0
40-54,airbag,none,0,m,19,1997,1,3
40-54,none,belted,1,m,19,1992,0,0
40-54,airbag,belted,1,f,50,1998,1,3
25-39,none,none,0,m,19,1982,0,4
55+,none,belted,0,m,51,1994,0,0
55+,none,none,0,m,27,1994,0,3
40-54,airbag,belted,1,f,59,1990,1,2
40-54,airbag,belted,1,f,81,1992,1,0
40-54,none,none,1,m,88,1992,0,3
40-54,none,belted,0,m,25,1986,0,0
25-39,none,belted,0,m,49,1993,0,3
25-39,none,belted,0,f,42,1993,0,3
25-39,none,belted,1,m,22,1981,0,0
40-54,airbag,belted,1,f,20,1997,0,3
40-54,none,belted,1,m,41,1990,0,0
55+,none,belted,0,m,68,1987,0,3
40-54,airbag,belted,1,m,20,1997,1,0
25-39,airbag,belted,0,f,33,1997,1,3
40-54,none,none,1,m,47,1979,0,3
25-39,none,none,1,m,34,1986,0,3
25-39,airbag,none,0,f,66,1995,0,3
25-39,airbag,belted,0,f,28,1998,0,0
40-54,none,none,1,m,23,1988,0,3
40-54,airbag,belted,1,f,70,1997,1,2
40-54,airbag,belted,1,f,83,1997,1,3
40-54,airbag,none,1,m,22,1998,1,0
25-39,none,belted,1,f,37,1991,0,3
25-39,none,belted,1,m,44,1991,0,3
40-54,none,belted,0,f,32,1991,0,0
40-54,none,none,0,f,32,1991,0,3
40-54,none,belted,1,m,30,1994,0,0
40-54,none,belted,1,f,27,1994,0,3
40-54,none,none,1,m,23,1985,0,0
40-54,none,none,1,m,25,1985,0,3
40-54,airbag,belted,0,f,26,1996,0,1
40-54,airbag,belted,1,f,56,1997,1,3
25-39,airbag,belted,1,m,23,1996,1,3
40-54,none,none,1,m,16,1985,0,0
40-54,airbag,none,0,f,20,1995,0,3
40-54,none,belted,0,m,35,1987,0,1
40-54,none,none,0,f,42,1987,0,3
40-54,airbag,belted,1,f,48,1996,1,0
40-54,none,none,1,m,41,1992,0,3
40-54,none,belted,1,m,45,1990,0,3
40-54,none,belted,1,f,84,1990,0,3
25-39,none,belted,0,f,18,1993,0,3
40-54,airbag,none,1,m,24,1997,1,3
40-54,airbag,none,1,f,18,1997,1,3
25-39,none,belted,0,m,25,1983,0,0
40-54,none,belted,1,f,53,1984,0,3
40-54,airbag,belted,1,f,16,1998,0,0
40-54,airbag,belted,1,m,16,1998,0,0
25-39,none,belted,0,m,39,1989,0,3
40-54,none,belted,1,m,39,1989,0,0
40-54,none,belted,1,m,25,1989,0,0
55+,none,none,1,m,56,1987,0,3
40-54,none,belted,1,m,47,1993,0,0
40-54,none,none,0,m,47,1989,0,3
40-54,airbag,none,1,m,16,1995,1,0
40-54,airbag,none,1,m,16,1995,1,0
25-39,none,belted,1,m,31,1990,0,0
25-39,none,none,1,m,32,1990,0,3
55+,none,none,1,m,26,1991,0,4
55+,none,none,1,m,19,1991,0,3
40-54,airbag,none,1,f,65,1995,1,3
40-54,airbag,belted,1,m,69,1995,1,3
40-54,airbag,belted,1,m,30,1998,1,1
40-54,airbag,none,1,m,34,1998,0,3
55+,airbag,none,0,f,18,1997,1,3
40-54,none,none,0,m,38,1993,0,0
25-39,none,none,1,m,28,1989,0,3
40-54,airbag,none,1,m,30,1998,1,3
40-54,airbag,belted,1,m,20,1998,1,0
40-54,airbag,none,1,m,20,1998,1,2
55+,airbag,none,1,f,28,1997,1,3
40-54,none,belted,1,m,47,1995,0,0
40-54,none,belted,0,f,19,1987,0,1
40-54,none,belted,0,m,25,1987,0,1
55+,none,none,1,m,19,1988,0,4
55+,none,belted,1,m,18,1988,0,2
40-54,airbag,belted,0,m,21,1995,0,1
25-39,none,none,1,m,20,1992,0,1
40-54,airbag,belted,0,f,48,1992,1,3
40-54,none,none,1,f,28,1978,0,2
40-54,none,none,0,m,56,1990,0,0
40-54,none,none,0,f,47,1990,0,0
25-39,none,belted,1,m,29,1982,0,3
40-54,none,belted,1,f,36,1987,0,2
40-54,airbag,none,0,m,24,1997,1,3
40-54,airbag,belted,1,m,21,1994,1,1
40-54,none,belted,1,m,20,1986,0,0
40-54,none,belted,1,f,37,1987,0,1
40-54,none,belted,1,m,24,1991,0,0
40-54,none,none,1,m,58,1989,0,4
40-54,none,none,1,f,47,1989,0,3
40-54,airbag,belted,1,f,32,1993,1,3
40-54,none,belted,1,f,54,1993,0,4
25-39,none,belted,0,f,66,1987,0,1
25-39,airbag,belted,1,m,23,1992,1,0
